loss,accuracy,val_loss,val_accuracy
0.5470858812332153,0.0009491525706835091,0.5531903505325317,0.0
0.540774941444397,0.0009491525706835091,0.5405144095420837,0.0
0.539317786693573,0.0009491525706835091,0.548493504524231,0.0
0.5385004281997681,0.0009491525706835091,0.5418500304222107,0.0
0.5378908514976501,0.0009491525706835091,0.5386651158332825,0.0
0.5377252101898193,0.0009491525706835091,0.5383107662200928,0.0
0.5372753143310547,0.0009491525706835091,0.541833758354187,0.0
0.5372097492218018,0.0009491525706835091,0.5405481457710266,0.0
0.5369859933853149,0.0009491525706835091,0.5378717184066772,0.0
0.5368090867996216,0.0009491525706835091,0.5378360152244568,0.0
0.5367488265037537,0.0009491525706835091,0.5382002592086792,0.0
0.5367761254310608,0.0009491525706835091,0.5379315614700317,0.0
0.5365669131278992,0.0009491525706835091,0.5407513380050659,0.0
0.5364072918891907,0.0009491525706835091,0.5380153656005859,0.0
0.5367680788040161,0.0009491525706835091,0.537783682346344,0.0
0.5366080403327942,0.0009491525706835091,0.5378531813621521,0.0
0.5363025665283203,0.0009491525706835091,0.5381593108177185,0.0
0.5363056659698486,0.0009491525706835091,0.5377865433692932,0.0
0.5361860990524292,0.0009491525706835091,0.5376473069190979,0.0
0.5361530184745789,0.0009491525706835091,0.5373277068138123,0.0
